Date,Growth,Close,Volume,W_Average
1950-01-03,0,16.65999985,1260000,0
1950-01-04,1,16.85000038,1890000,0
1950-01-05,1,16.93000031,2550000,0
1950-01-06,1,16.97999954,2010000,0
1950-01-09,1,17.07999992,2520000,0
1950-01-10,0,17.03000069,2160000,0
1950-01-11,1,17.09000015,2630000,0
1950-01-12,0,16.76000023,2970000,0
1950-01-13,0,16.67000008,3330000,0
1950-01-16,1,16.71999931,1460000,0
1950-01-17,1,16.86000061,1790000,0
1950-01-18,0,16.85000038,1570000,0
1950-01-19,1,16.87000084,1170000,0
1950-01-20,1,16.89999962,1440000,0
1950-01-23,1,16.92000008,1340000,0
1950-01-24,0,16.86000061,1250000,0
1950-01-25,0,16.73999977,1700000,0
1950-01-26,0,16.72999954,1150000,0
1950-01-27,1,16.81999969,1250000,0
1950-01-30,1,17.02000046,1640000,0
1950-01-31,1,17.04999924,1690000,0
1950-02-01,0,17.04999924,1810000,0
1950-02-02,1,17.22999954,2040000,0
1950-02-03,1,17.29000092,2210000,0
1950-02-06,1,17.31999969,1490000,0
1950-02-07,0,17.22999954,1360000,0
1950-02-08,0,17.20999908,1470000,0
1950-02-09,1,17.28000069,1810000,0
1950-02-10,0,17.23999977,1790000,0
1950-02-14,0,17.05999947,2210000,0
1950-02-15,0,17.05999947,1730000,0
1950-02-16,0,16.98999977,1920000,0
1950-02-17,1,17.14999962,1940000,0
1950-02-20,1,17.20000076,1420000,0
1950-02-21,0,17.17000008,1260000,0
1950-02-23,1,17.20999908,1310000,0
1950-02-24,1,17.28000069,1710000,0
1950-02-27,0,17.28000069,1410000,0
1950-02-28,0,17.21999931,1310000,0
1950-03-01,1,17.23999977,1410000,0
1950-03-02,0,17.22999954,1340000,0
1950-03-03,1,17.29000092,1520000,0
1950-03-06,1,17.31999969,1470000,0
1950-03-07,0,17.20000076,1590000,0
1950-03-08,0,17.19000053,1360000,0
1950-03-09,0,17.06999969,1330000,0
1950-03-10,1,17.09000015,1260000,0
1950-03-13,1,17.12000084,1060000,0
1950-03-14,1,17.25,1140000,0
1950-03-15,1,17.45000076,1830000,0
1950-03-16,1,17.48999977,2060000,0
1950-03-17,0,17.45000076,1600000,0
1950-03-20,0,17.44000053,1430000,0
1950-03-21,1,17.45000076,1400000,0
1950-03-22,1,17.54999924,2010000,0
1950-03-23,1,17.55999947,2020000,0
1950-03-24,0,17.55999947,1570000,0
1950-03-27,0,17.45999908,1930000,0
1950-03-28,1,17.53000069,1780000,0
1950-03-29,0,17.44000053,2090000,0
1950-03-30,0,17.29999924,2370000,0
1950-03-31,0,17.29000092,1880000,0
1950-04-03,1,17.53000069,1570000,0
1950-04-04,1,17.54999924,2010000,0
1950-04-05,1,17.62999916,1430000,0
